Time,Blade,Action,Type,Interface,Origin,Source,Destination,Service,Access Rule Number,Access Rule Name,Description,SNI,TLS Server Host Name
2026-04-02T15:57:26Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:26Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:23Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:22Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:02Z,Firewall,Accept,Connection,,,192.168.100.150,20.42.73.26,443,,Cleanup rule,,,
2026-04-02T15:56:54Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.42.73.26,443,,,,,
2026-04-02T15:56:28Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T15:56:20Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T15:56:04Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:56:04Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:56:04Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.105,443,,Cleanup rule,,,
2026-04-02T15:56:03Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.105,443,,,,,
2026-04-02T15:51:28Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T15:51:20Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T15:49:47Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:49:47Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:49:47Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.99,443,,Cleanup rule,,,
2026-04-02T15:49:47Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.99,443,,,,,
2026-04-02T15:49:00Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:49:00Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:49:00Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.113,443,,Cleanup rule,,,
